2026-08-19 23:53:10.180 [main] [--] INFO  order-service-c.t.e.o.OrderServiceApplication - Starting OrderServiceApplication using Java 22.0.2 with PID 42864 (D:\ecommerce-microservices\order-service\target\classes started by tanis in D:\ecommerce-microservices\order-service)
2026-08-19 23:53:10.182 [main] [--] INFO  order-service-c.t.e.o.OrderServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-08-19 23:53:11.138 [main] [--] INFO  order-service-o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-19 23:53:11.287 [main] [--] INFO  order-service-o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 140 ms. Found 1 JPA repository interface.
2026-08-19 23:53:11.581 [main] [--] INFO  order-service-o.s.cloud.context.scope.GenericScope - BeanFactory id=5265f574-8dcd-375d-8401-7cdcc013970e
2026-08-19 23:53:12.310 [main] [--] INFO  order-service-o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9092 (http)
2026-08-19 23:53:12.327 [main] [--] INFO  order-service-o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9092"]
2026-08-19 23:53:12.335 [main] [--] INFO  order-service-o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-08-19 23:53:12.335 [main] [--] INFO  order-service-o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.28]
2026-08-19 23:53:12.429 [main] [--] INFO  order-service-o.a.c.c.C.[.[localhost].[/orders] - Initializing Spring embedded WebApplicationContext
2026-08-19 23:53:12.430 [main] [--] INFO  order-service-o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2203 ms
2026-08-19 23:53:12.793 [main] [--] INFO  order-service-o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-08-19 23:53:12.860 [main] [--] INFO  order-service-org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2026-08-19 23:53:12.895 [main] [--] INFO  order-service-o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
